gene,DTB-188,PR-063,PR-038,PR-058,DTB-184,DTB-021,PR-051,PR-080
ADGRD1,0.3104269,0.31001,0.5253545,0.34549094,0.22350789999999998,5.06612802,0.3308278,1.2241746
ADGRE2,0.3757902,0.5253822,0.629735,0.44961100000000004,1.4251652999999997,0.2348479,0.4896452,0.5447706
ADGRE5,2.2384499,3.473236,2.9147629,1.5000552,5.9741040000000005,3.0482015547229997,3.5392740000000003,3.1874151
ADGRF1,0.1435586,0.7671941,41.79055519999999,0.34392659,0.4579835,0.41569540000000005,0.291641,0.6108146000000001
ADGRF5,0.1649832,2.263916,2.934917,0.820883,2.225855,0.3387327,0.7201858,0.6494162
ADGRG1,3.6922304413700004,5.9385555,5.160180190414999,5.556766599868685,4.4856020243,3.9719459951779896,3.805538253127101,1.317816
ADGRG2,0.16863190346217,0.2873506,0.4116765,0.3298714,0.35394463,0.2508753,0.42935100488010003,0.6217586587
ADGRL1,1.4020693999999998,0.9884860000000001,0.959342,2.2938243,12.0766974,2.0551705,3.5189785999999996,2.280977
ADGRL2,2.5383286811909,4.25246737,2.15735640253,1.5024311246000004,7.016857000052264,3.117214299999999,3.7973105598499997,4.66613129
ADGRL3,0.00189764,0.149697328667898,0.0153993,0.028748609999999997,0.022667060000000003,0.026273889999999998,0.00318205,3.9723513011905327
ADGRL4,0.5683320000000001,2.3135939999999997,1.4288100000000001,0.5507798,9.88788,1.739823,2.8004370000000005,1.57108176
ADGRV1,3.8916847999999997,6.441963100000001,7.565463100190783,2.2575172,12.3875467,6.7725668395416,9.813446956721004,19.468250500000003
ADH1A,0.00884749,0.0,0.0162446,0.029043799999999998,0.054725699999999995,0.027188099999999996,0.14133489999999999,0.07345039999999999
ADH1B,0.054048200000000005,0.063231,0.12719403,0.06766127,0.07978995,0.0784504,0.7940033000000001,0.13644499999999998
ADH1C,0.0,0.176458,0.0,0.0249475,0.0,0.0,0.00870345,0.1112269
ADH5,1.0757016,6.2950610000000005,5.8472269,2.8560497,1.7003663000000002,0.6716362,2.5121067,3.309319
ADI1,1.3072599999999999,3.2019080000000004,2.14724,3.6482099999999997,3.36109,1.7208303999999999,2.345865,2.604136
ADIPOR1,20.389615600000003,12.56468,23.087061,8.155776,12.6928234,2.42102,9.710578,12.2172016
ADIPOR2,1.7308101,5.809615,5.092594,3.5951214000000005,2.2243544,1.443658,3.872973,4.9607884
ADIRF,0.0734995,2.0987400000000003,5.66062,0.268664,1.3442189999999998,0.487317,10.91206,0.6031236
ADK,3.761275,2.6586538,2.882343,6.216202000000001,7.7585534,1.34650781,2.757229,9.141372000000002
ADM,0.06403139999999999,0.8808069999999999,2.7331903,0.2755048,0.22853649999999998,0.00819011,0.2239698,0.245552
ADM2,0.11491300000000002,0.059496,0.421663,0.32419499999999996,0.519782,0.299478,0.689661,0.131184
ADNP,3.8877549,7.239874,12.156691,7.6841539999999995,8.643967,3.12731965,4.838781000123862,11.3410532842
ADNP2,3.712366,4.50388,2.079714000512434,2.98774,3.9149499999999997,1.6536909999999998,1.4591146999999998,4.465472999999999
ADO,0.46787700000000004,0.537098,1.16431,1.25919,1.5929799999999998,0.350979,0.473616,1.53122
ADPGK,2.7695648,5.981415999999999,2.8177810583940004,7.6870098,6.171825800000001,5.0474711,5.5664208928,5.8750095
ADPRH,0.08497314,1.1128269,1.0207837,1.7100011,1.4406613,0.606412,0.6291887,0.6819055
ADRA2A,0.336877,0.0335016,0.21555700000000003,1.7665,0.104414,0.225131,0.46170600000000006,1.3131899999999999
ADRB2,6.1266099999999994,2.94597,3.15404,1.55104,3.6147099999999996,1.34968,1.76141,12.7547
ADRM1,2.2230302105899997,6.813016,12.061422799999999,3.3643874,3.6696603,0.158103,2.09807967,2.1297338999999997
ADSL,2.5595808000000004,5.041632,2.40246190159091,3.1624487000000006,3.2562656,1.2062568,3.9417738999999994,4.0296520000000005
ADSS2,1.2936180000000002,1.404747,5.02662,3.5731990000000002,2.5770419999999996,1.89688,2.563745,4.4184969999999995
AEBP1,6.264702600000001,14.797369999999999,4.348091499999999,2.0512569999999997,3.708710648941,5.522333,10.5264279,3.33865760701591
AEBP2,3.739957,8.266063,4.239572,4.798132,4.8127493999999995,3.4725754,4.2998452,8.070189000000001
AEN,0.3990713,0.6925944,0.39946770000000004,0.4383362,1.0372164,0.483609,0.5279756,0.8370254
AFAP1,1.2197396999632002,2.4311819999999997,1.301464,1.236989,2.1908361000000003,1.1909181,2.1584388,2.254906
AFAP1L1,0.5070404,1.347124,0.7846063999999999,0.3697779,4.0017864,1.6335802,0.8240043,0.7942739999999999
